wavelength,transmittance
3676.5,97.54
3676.25,97.53
3676,97.52
3675.75,97.51
3675.5,97.5
3675.25,97.51
3675,97.52
3674.75,97.53
3674.5,97.53
3674.25,97.53
3674,97.54
3673.75,97.54
3673.5,97.55
3673.25,97.56
3673,97.57
3672.75,97.57
3672.5,97.57
3672.25,97.57
3672,97.56
3671.75,97.56
3671.5,97.55
3671.25,97.54
3671,97.53
3670.75,97.53
3670.5,97.53
3670.25,97.53
3670,97.53
3669.75,97.53
3669.5,97.54
3669.25,97.54
3669,97.55
3668.75,97.56
3668.5,97.57
3668.25,97.58
3668,97.6
3667.75,97.6
3667.5,97.61
3667.25,97.62
3667,97.62
3666.75,97.63
3666.5,97.64
3666.25,97.65
3666,97.66
3665.75,97.66
3665.5,97.66
3665.25,97.66
3665,97.66
3664.75,97.65
3664.5,97.65
3664.25,97.65
3664,97.65
3663.75,97.66
3663.5,97.66
3663.25,97.66
3663,97.65
3662.75,97.65
3662.5,97.65
3662.25,97.65
3662,97.65
3661.75,97.65
3661.5,97.65
3661.25,97.65
3661,97.65
3660.75,97.65
3660.5,97.64
3660.25,97.64
3660,97.64
3659.75,97.64
3659.5,97.63
3659.25,97.62
3659,97.61
3658.75,97.6
3658.5,97.59
3658.25,97.58
3658,97.57
3657.75,97.56
3657.5,97.55
3657.25,97.55
3657,97.54
3656.75,97.54
3656.5,97.53
3656.25,97.53
3656,97.53
3655.75,97.53
3655.5,97.53
3655.25,97.53
3655,97.53
3654.75,97.54
3654.5,97.54
3654.25,97.54
3654,97.53
3653.75,97.53
3653.5,97.51
3653.25,97.5
3653,97.5
3652.75,97.48
3652.5,97.47
3652.25,97.45
3652,97.43
3651.75,97.41
3651.5,97.39
3651.25,97.38
3651,97.37
3650.75,97.36
3650.5,97.34
3650.25,97.33
3650,97.32
3649.75,97.32
3649.5,97.32
3649.25,97.32
3649,97.32
3648.75,97.31
3648.5,97.3
3648.25,97.3
3648,97.3
3647.75,97.3
3647.5,97.3
3647.25,97.31
3647,97.32
3646.75,97.34
3646.5,97.35
3646.25,97.37
3646,97.38
3645.75,97.39
3645.5,97.4
3645.25,97.41
3645,97.43
3644.75,97.44
3644.5,97.45
3644.25,97.46
3644,97.46
3643.75,97.45
3643.5,97.45
3643.25,97.45
3643,97.45
3642.75,97.45
3642.5,97.45
3642.25,97.45
3642,97.44
3641.75,97.44
3641.5,97.44
3641.25,97.44
3641,97.45
3640.75,97.45
3640.5,97.44
3640.25,97.43
3640,97.43
3639.75,97.42
3639.5,97.42
3639.25,97.42
3639,97.43
3638.75,97.43
3638.5,97.43
3638.25,97.42
3638,97.42
3637.75,97.41
3637.5,97.41
3637.25,97.41
3637,97.4
3636.75,97.4
3636.5,97.4
3636.25,97.41
3636,97.4
3635.75,97.4
3635.5,97.39
3635.25,97.37
3635,97.36
3634.75,97.35
3634.5,97.34
3634.25,97.34
3634,97.34
3633.75,97.34
3633.5,97.34
3633.25,97.33
3633,97.33
3632.75,97.32
3632.5,97.31
3632.25,97.3
3632,97.28
3631.75,97.27
3631.5,97.26
3631.25,97.25
3631,97.24
3630.75,97.22
3630.5,97.19
3630.25,97.17
3630,97.16
3629.75,97.16
3629.5,97.16
3629.25,97.15
3629,97.14
3628.75,97.13
3628.5,97.13
3628.25,97.14
3628,97.14
3627.75,97.15
3627.5,97.17
3627.25,97.18
3627,97.19
3626.75,97.2
3626.5,97.2
3626.25,97.2
3626,97.21
3625.75,97.22
3625.5,97.22
3625.25,97.22
3625,97.22
3624.75,97.22
3624.5,97.22
3624.25,97.22
3624,97.21
3623.75,97.21
3623.5,97.21
3623.25,97.21
3623,97.21
3622.75,97.2
3622.5,97.19
3622.25,97.17
3622,97.16
3621.75,97.15
3621.5,97.15
3621.25,97.15
3621,97.14
3620.75,97.13
3620.5,97.12
3620.25,97.11
3620,97.11
3619.75,97.1
3619.5,97.09
3619.25,97.08
3619,97.08
3618.75,97.08
3618.5,97.08
3618.25,97.07
3618,97.07
3617.75,97.06
3617.5,97.06
3617.25,97.06
3617,97.06
3616.75,97.06
3616.5,97.06
3616.25,97.06
3616,97.06
3615.75,97.05
3615.5,97.05
3615.25,97.04
3615,97.03
3614.75,97.02
3614.5,97.02
3614.25,97.02
3614,97.02
3613.75,97.01
3613.5,97.01
3613.25,97.01
3613,97.01
3612.75,97
3612.5,96.99
3612.25,96.98
3612,96.97
3611.75,96.96
3611.5,96.96
3611.25,96.96
3611,96.97
3610.75,96.97
3610.5,96.97
3610.25,96.97
3610,96.96
3609.75,96.95
3609.5,96.94
3609.25,96.94
3609,96.93
3608.75,96.93
3608.5,96.93
3608.25,96.93
3608,96.93
3607.75,96.93
3607.5,96.93
3607.25,96.92
3607,96.92
3606.75,96.92
3606.5,96.93
3606.25,96.93
3606,96.93
3605.75,96.93
3605.5,96.94
3605.25,96.94
3605,96.95
3604.75,96.94
3604.5,96.94
3604.25,96.94
3604,96.94
3603.75,96.94
3603.5,96.93
3603.25,96.93
3603,96.92
3602.75,96.91
3602.5,96.91
3602.25,96.9
3602,96.9
3601.75,96.9
3601.5,96.89
3601.25,96.88
3601,96.88
3600.75,96.88
3600.5,96.87
3600.25,96.88
3600,96.88
3599.75,96.87
3599.5,96.87
3599.25,96.86
3599,96.86
3598.75,96.86
3598.5,96.86
3598.25,96.85
3598,96.84
3597.75,96.83
3597.5,96.82
3597.25,96.81
3597,96.82
3596.75,96.82
3596.5,96.82
3596.25,96.81
3596,96.8
3595.75,96.79
3595.5,96.78
3595.25,96.78
3595,96.78
3594.75,96.78
3594.5,96.78
3594.25,96.78
3594,96.78
3593.75,96.77
3593.5,96.77
3593.25,96.77
3593,96.76
3592.75,96.76
3592.5,96.75
3592.25,96.75
3592,96.75
3591.75,96.76
3591.5,96.76
3591.25,96.75
3591,96.73
3590.75,96.72
3590.5,96.71
3590.25,96.7
3590,96.7
3589.75,96.7
